,id,exchange_code,exchange_name,date,total_market_cap,circulating_market_cap,volume,money,deal_number,pe_average,turnover_ratio
0,3625,322001,上海市场,2008-01-02,270312.53675314,65425.60079154,765666.0965,1330.28308559,740.3935,59.327,2.2523
1,3630,322001,上海市场,2008-01-03,272884.21742069,66039.85672525,985103.2363,1704.29834596,957.3728,59.887,2.897
2,3635,322001,上海市场,2008-01-04,275327.47671452,66699.5090557,808752.3814,1455.45035009,813.0555,60.351,2.376
3,3640,322001,上海市场,2008-01-07,276946.88562427,67725.46900704,919330.0147,1622.25795991,888.6808,60.752,2.6891
4,3645,322001,上海市场,2008-01-08,276671.96738549,67119.81869987,1024778.6381,1846.00542474,1032.3536,60.703,2.9966
5,3650,322001,上海市场,2008-01-09,279162.86115444,68975.3789787,768058.6224,1394.48986314,744.3042,61.24,2.2383
6,3655,322001,上海市场,2008-01-10,280220.05390822,69489.82336732,965532.8528,1741.38308162,952.2357,61.479,2.8133
7,3660,322001,上海市场,2008-01-11,281658.34108716,69785.88540964,877247.5039,1558.74958853,884.1562,61.799,2.5554
8,3665,322001,上海市场,2008-01-14,282338.52730729,70280.0501502,787140.9037,1422.50729123,784.5184,61.939,2.2925
9,3670,322001,上海市场,2008-01-15,279565.84798429,70062.72074568,807195.0605,1515.30590943,830.7672,61.313,2.3507
10,3675,322001,上海市场,2008-01-16,271926.25863927,68132.93142375,892783.418,1619.54601902,934.1214,59.61,2.6
11,3680,322001,上海市场,2008-01-17,264782.95276494,66468.02720274,989419.525,1747.40177317,1000.3097,58.044,2.8805
12,3685,322001,上海市场,2008-01-18,266272.76417546,67015.41862641,687356.2533,1188.89722122,665.419,58.37,1.9999
13,3690,322001,上海市场,2008-01-21,252615.4678925,63930.51026798,756439.5858,1303.41708797,785.5093,55.359,2.1998
14,3695,322001,上海市场,2008-01-22,234398.58030971,58938.05937894,924913.513,1548.37414462,832.1262,51.364,2.6891
15,3700,322001,上海市场,2008-01-23,241768.32003222,61609.97800545,879639.7336,1403.48152222,749.9813,52.988,2.5554
16,3705,322001,上海市场,2008-01-24,242521.47443644,62614.26051404,900381.5844,1492.35591805,792.1805,53.137,2.6138
17,3710,322001,上海市场,2008-01-25,244790.30037678,63155.24452204,779283.7048,1294.23208424,717.8856,53.643,2.2616
18,3715,322001,上海市场,2008-01-28,227145.54239978,58874.98338519,693502.5796,1088.08414751,696.5246,49.77,2.0109
19,3720,322001,上海市场,2008-01-29,229187.69996603,59533.52457956,503562.2055,795.64816524,478.0912,50.225,1.4593
20,3725,322001,上海市场,2008-01-30,227126.38221053,58989.48022105,550800.3772,925.66887273,502.7111,49.767,1.5962
21,3730,322001,上海市场,2008-01-31,225354.97069933,57694.22426434,451415.5818,761.89312094,416.8632,49.395,1.3078
22,3735,322001,上海市场,2008-02-01,224187.81891216,57034.59409,593071.4286,964.52528237,497.8632,48.956,1.7078
23,3740,322001,上海市场,2008-02-04,242511.2531801,61702.74322679,635197.6803,1093.41996658,519.0925,52.969,1.8287
24,3745,322001,上海市场,2008-02-05,238671.53950035,63305.28848718,526196.8455,934.10147326,490.9766,52.097,1.4956
25,3750,322001,上海市场,2008-02-13,233059.00420949,62190.022376,369141.5112,615.49818317,369.9495,50.829,1.048
26,3755,322001,上海市场,2008-02-14,236287.427141,63168.16607194,349130.0578,575.16976567,343.1915,51.532,0.9907
27,3760,322001,上海市场,2008-02-15,233409.09133748,62407.26658962,413865.1663,669.80796512,431.1674,50.901,1.1743
28,3765,322001,上海市场,2008-02-18,237120.31018553,63877.78186816,558246.1,925.38618784,525.1863,51.705,1.5822
29,3770,322001,上海市场,2008-02-19,242139.30419555,65194.95456049,606631.8874,1033.56946603,596.7105,52.807,1.7192
30,3775,322001,上海市场,2008-02-20,237171.43829122,63917.79917128,664746.5325,1147.82705284,679.5397,51.712,1.8837
31,3780,322001,上海市场,2008-02-21,235129.11304957,63722.96954453,613091.4836,1002.95840122,604.9121,51.257,1.7357
32,3785,322001,上海市场,2008-02-22,226980.56495641,61672.08731339,676019.8399,1098.24503736,706.6039,49.468,1.9137
33,3790,322001,上海市场,2008-02-25,217744.12090091,59518.34910433,588119.356,930.47459921,600.9982,47.451,1.6648
34,3795,322001,上海市场,2008-02-26,220114.82474396,59771.26487311,556866.3175,898.72770426,525.0668,47.978,1.5758
35,3800,322001,上海市场,2008-02-27,225023.72591886,62093.66977482,505249.9174,829.67322693,480.2628,49.048,1.4189
36,3805,322001,上海市场,2008-02-28,223299.93410556,61984.4008094,479222.5305,755.27784888,483.9693,48.669,1.3447
37,3810,322001,上海市场,2008-02-29,225846.3524838,62750.04297485,478583.8392,755.66287728,465.045,49.22,1.3426
38,3815,322001,上海市场,2008-03-03,230445.93930822,66804.16200699,785138.4076,1253.29686545,726.2446,50.22,2.1728
39,3820,322001,上海市场,2008-03-04,225102.96859381,65348.60425259,869914.3065,1361.49077802,856.1611,49.045,2.4068
40,3825,322001,上海市场,2008-03-05,222913.83108397,65024.34262149,741096.8011,1135.43589985,740.0487,48.564,2.0489
41,3830,322001,上海市场,2008-03-06,226465.79274492,65904.97407209,849321.455,1331.86791752,820.9334,49.338,2.348
42,3835,322001,上海市场,2008-03-07,223316.70096006,64755.46270023,567474.0254,922.03521887,584.1586,48.654,1.5678
43,3840,322001,上海市场,2008-03-10,216511.86465058,62628.52905915,656822.0535,973.55257733,617.0672,47.016,1.8027
44,3845,322001,上海市场,2008-03-11,217335.09675814,62754.96307734,513334.3939,796.20807574,485.5915,47.188,1.4089
45,3850,322001,上海市场,2008-03-12,212741.68863528,61145.27426964,574808.6836,888.22108673,544.1826,46.187,1.5722
46,3855,322001,上海市场,2008-03-13,207539.8058143,59563.43978537,636534.0083,963.43796125,593.1514,45.094,1.7396
47,3860,322001,上海市场,2008-03-14,207116.96687318,59013.53206754,414072.5712,642.86805172,397.2248,45.01,1.1309
48,3865,322001,上海市场,2008-03-17,199494.62177995,55921.77083223,491002.735,736.13176802,473.1287,43.372,1.34
49,3870,322001,上海市场,2008-03-18,191517.38622131,53045.22367888,578610.0159,795.35892251,511.7168,41.694,1.5712
