,lnR,lnR_2,CYBZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2010-06-02,0.024246601824350122,0.0005878977000285787,0.0006584405376394028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-03,0.001277867068267824,1.6329442441634033e-06,0.000606646272944406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-04,0.02891209859283439,0.0008359094450417763,0.0004806186278630041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-07,0.039856520976668364,0.0015885422643636053,0.0012395636480196292,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2010-06-08,-0.0021660367671199054,4.691715276515251e-06,0.00037499934070384306,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-09,0.009947974253794456,9.896219175415736e-05,0.0006036556976692596,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-10,0.036131094455144286,0.0013054559865265582,0.0003191539261025507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-11,0.004215792716678379,1.777290822999847e-05,0.000167811849966675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-17,-0.05246653920301192,0.002752737735941187,0.000374372439564094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
2010-06-18,-0.06254665238198776,0.003912083724193214,0.0008933482784509632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-21,0.03971460817049888,0.0015772501021362561,0.0006003138752670563,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2010-06-22,-0.005594974025293631,3.1303734343710415e-05,0.0002492480078192946,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010-06-23,0.011854156326208454,0.0001405210222061879,0.00042773851115224113,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-06-24,0.003111629260319937,9.682236653679199e-06,0.00026768566065205746,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-06-25,-0.033210527696924785,0.0011029391499082083,0.0005616157385067533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2010-06-28,-0.0283995514582438,0.0008065345230294375,0.00039527839787289234,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2010-06-29,-0.07843331317795954,0.006151784616071881,0.0006974348121064011,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
