,lnR,lnR_2,CYBZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt,risk_M,risk_Tu,risk_Th,risk_F,risk_Jan,risk_Feb,risk_May,risk_Dec,risk_ntd_cnt,emotion_M,emotion_Tu,emotion_Th,emotion_F,emotion_Jan,emotion_Feb,emotion_May,emotion_Dec,emotion_ntd_cnt,news_M,news_Tu,news_Th,news_F,news_Jan,news_Feb,news_May,news_Dec,news_ntd_cnt,risk,emotion,news
2010-06-02,0.024250687227454826,0.0005880958310038407,0.0006584405376394028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.061322565676164,3.1599030637847436
2010-06-03,0.0012728577370868521,1.620166818861862e-06,0.000606646272944406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.061322565676162,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,3.0712251631980387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.061322565676162,3.0712251631980387
2010-06-04,0.02891513197012152,0.0008360848568495438,0.0004806186278630041,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-2.0613225656761593,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.0237515999272087,0.0,0.0,0.0,0.0,0.0,0.0,-2.0613225656761593,3.0237515999272087
2010-06-07,0.03985936412867197,0.0015887689087420618,0.0012395636480196292,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0613225656761593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.122645131352319,2.7452375146738426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.490475029347685,0.0,-2.0613225656761593,2.7452375146738426
2010-06-08,-0.0021716551485777558,4.716086084344274e-06,0.00037499934070384306,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.0613225656761593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2.7452375146738426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0613225656761593,2.7452375146738426
2010-06-09,0.00994893915607964,9.898139033137464e-05,0.0006036556976692596,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9789596450384377,2.9739114821015744
2010-06-10,0.036135667590190046,0.0013057864721887113,0.0003191539261025507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.9583487528480146,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,3.116546762839201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9583487528480146,3.116546762839201
2010-06-11,0.004214894081025378,1.7765332114262764e-05,0.000167811849966675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.9553557225158924,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.116546762839201,0.0,0.0,0.0,0.0,0.0,0.0,-1.9553557225158924,3.116546762839201
2010-06-17,-0.05246649120149982,0.002752732698997058,0.000374372439564094,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.0070897627294917,-0.0,-0.0,-0.0,-0.0,-0.0,-10.03544881364746,0.0,0.0,3.116546762839201,0.0,0.0,0.0,0.0,0.0,15.582733814196006,0.0,-2.0070897627294917,3.116546762839201
2010-06-18,-0.06254459232591891,0.003911826029215395,0.0008933482784509632,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-2.070698388048183,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.3166669680070444,0.0,0.0,0.0,0.0,0.0,0.0,-2.070698388048183,3.3166669680070444
