date,id,exchange_code,exchange_name,date,total_market_cap,circulating_market_cap,volume,money,deal_number,pe_average,turnover_ratio
2009-10-30,6054,322007,创业板,2009-10-30,1399.67,250.69,43400.0,219.08,145.71,111.03,
2009-11-02,6061,322007,创业板,2009-11-02,1280.68,229.84,16700.0,77.38,35.34,101.59,
2009-11-03,6068,322007,创业板,2009-11-03,1220.13,218.74,12800.0,55.59,27.94,96.78,
2009-11-04,6075,322007,创业板,2009-11-04,1251.11,224.46,9200.0,39.89,19.53,99.24,
2009-11-05,6082,322007,创业板,2009-11-05,1278.7,229.67,10800.0,47.8,23.7,101.43,
2009-11-06,6089,322007,创业板,2009-11-06,1239.6,222.8,7200.0,33.05,16.94,98.33,
2009-11-09,6096,322007,创业板,2009-11-09,1217.06,219.26,5700.0,25.05,13.75,96.54,
2009-11-10,6103,322007,创业板,2009-11-10,1176.68,212.32,6300.0,27.17,15.22,93.34,
2009-11-11,6110,322007,创业板,2009-11-11,1184.69,214.07,5100.0,21.18,12.76,93.97,
2009-11-12,6117,322007,创业板,2009-11-12,1206.51,218.2,5300.0,22.63,12.43,95.7,
2009-11-13,6124,322007,创业板,2009-11-13,1270.62,229.79,11000.0,47.9,23.83,100.79,
2009-11-16,6131,322007,创业板,2009-11-16,1270.55,230.2,7100.0,30.89,14.92,100.78,
2009-11-17,6138,322007,创业板,2009-11-17,1269.03,229.97,5100.0,22.62,11.89,100.66,
2009-11-18,6145,322007,创业板,2009-11-18,1314.18,238.53,8100.0,35.94,17.9,104.24,
2009-11-19,6152,322007,创业板,2009-11-19,1396.94,253.37,13400.0,65.72,28.85,110.81,
2009-11-20,6159,322007,创业板,2009-11-20,1393.42,252.77,8900.0,41.16,19.53,110.53,
2009-11-23,6166,322007,创业板,2009-11-23,1420.36,257.96,6400.0,32.37,15.48,112.67,
2009-11-24,6173,322007,创业板,2009-11-24,1318.61,239.7,8900.0,43.7,21.14,104.6,
2009-11-25,6180,322007,创业板,2009-11-25,1397.28,254.6,8200.0,39.22,18.06,110.84,
2009-11-26,6187,322007,创业板,2009-11-26,1407.56,257.42,9000.0,45.18,19.81,111.65,
2009-11-27,6194,322007,创业板,2009-11-27,1438.68,262.02,8100.0,41.15,18.23,114.12,
2009-11-30,6201,322007,创业板,2009-11-30,1445.0,263.36,6600.0,31.63,15.04,114.62,
2009-12-01,6208,322007,创业板,2009-12-01,1454.15,264.99,6100.0,29.93,14.23,115.35,
2009-12-02,6215,322007,创业板,2009-12-02,1528.47,278.48,9800.0,53.16,22.28,121.24,
2009-12-03,6222,322007,创业板,2009-12-03,1609.3,293.25,11900.0,66.68,26.65,127.65,
2009-12-04,6229,322007,创业板,2009-12-04,1480.66,270.21,12900.0,67.69,30.14,117.45,
2009-12-07,6236,322007,创业板,2009-12-07,1497.09,273.07,6000.0,32.03,14.93,118.75,
2009-12-08,6243,322007,创业板,2009-12-08,1535.22,280.21,8400.0,44.32,20.35,121.78,
2009-12-09,6250,322007,创业板,2009-12-09,1541.39,281.28,10300.0,54.84,24.9,122.27,
2009-12-10,6257,322007,创业板,2009-12-10,1516.43,276.9,6400.0,34.61,16.68,120.29,
2009-12-11,6264,322007,创业板,2009-12-11,1456.78,265.75,6500.0,34.22,17.25,115.56,
2009-12-14,6271,322007,创业板,2009-12-14,1433.32,261.44,4800.0,24.99,12.49,113.69,
2009-12-15,6278,322007,创业板,2009-12-15,1444.86,263.72,3700.0,19.21,9.88,114.61,
2009-12-16,6285,322007,创业板,2009-12-16,1395.44,253.51,4700.0,23.18,11.53,110.69,
2009-12-17,6292,322007,创业板,2009-12-17,1314.61,239.16,4800.0,22.7,12.26,104.28,
2009-12-18,6299,322007,创业板,2009-12-18,1331.4,242.5,6200.0,28.19,14.95,105.61,
2009-12-21,6306,322007,创业板,2009-12-21,1340.77,244.35,3400.0,15.71,8.5,106.35,
2009-12-22,6313,322007,创业板,2009-12-22,1275.2,232.26,3400.0,15.91,8.86,101.15,
2009-12-23,6320,322007,创业板,2009-12-23,1313.74,239.4,4200.0,19.59,10.12,104.21,
2009-12-24,6327,322007,创业板,2009-12-24,1335.5,243.38,4500.0,20.73,10.59,105.93,
2009-12-25,6334,322007,创业板,2009-12-25,1574.49,292.06,15100.0,60.77,49.48,103.05,
2009-12-28,6341,322007,创业板,2009-12-28,1592.26,295.56,7200.0,28.74,17.47,104.22,
2009-12-29,6348,322007,创业板,2009-12-29,1594.56,296.25,8200.0,33.83,19.25,104.37,
2009-12-30,6355,322007,创业板,2009-12-30,1608.89,298.78,7300.0,32.29,17.51,105.3,
2009-12-31,6362,322007,创业板,2009-12-31,1610.08,298.97,4200.0,18.21,10.43,105.38,
2010-01-04,6369,322007,创业板,2010-01-04,1616.32,300.07,4000.0,18.73,10.05,105.79,
2010-01-05,6376,322007,创业板,2010-01-05,1620.08,300.75,5500.0,23.87,13.32,106.04,
2010-01-06,6383,322007,创业板,2010-01-06,1592.53,295.64,5300.0,22.97,13.07,104.23,
2010-01-07,6390,322007,创业板,2010-01-07,1564.03,290.44,4900.0,20.99,11.96,102.37,
2010-01-08,6397,322007,创业板,2010-01-08,1738.91,326.83,12600.0,53.19,37.24,98.37,
2010-01-11,6404,322007,创业板,2010-01-11,1746.28,328.44,7800.0,34.13,18.77,98.78,
2010-01-12,6411,322007,创业板,2010-01-12,1780.29,334.75,6700.0,29.25,14.9,100.71,
2010-01-13,6418,322007,创业板,2010-01-13,1783.23,335.65,6700.0,30.6,15.51,100.87,
2010-01-14,6425,322007,创业板,2010-01-14,1864.18,350.78,9800.0,43.87,22.12,105.45,
2010-01-15,6432,322007,创业板,2010-01-15,1852.28,348.69,6600.0,30.18,15.4,104.78,
2010-01-18,6439,322007,创业板,2010-01-18,1850.58,348.26,4900.0,22.8,11.45,104.68,
2010-01-19,6446,322007,创业板,2010-01-19,1815.71,341.67,5100.0,23.37,11.88,102.71,
2010-01-20,6453,322007,创业板,2010-01-20,1995.38,379.54,14200.0,66.67,40.67,98.57,
2010-01-21,6460,322007,创业板,2010-01-21,2002.96,381.03,6300.0,28.63,14.96,98.94,
2010-01-22,6467,322007,创业板,2010-01-22,1896.95,361.28,8600.0,35.54,19.99,93.71,
2010-01-25,6474,322007,创业板,2010-01-25,1858.56,354.29,5400.0,21.4,12.66,91.81,
2010-01-26,6481,322007,创业板,2010-01-26,1857.45,354.36,5800.0,25.9,13.33,89.07,
2010-01-27,6488,322007,创业板,2010-01-27,1846.61,352.41,5000.0,22.63,11.39,88.55,
2010-01-28,6495,322007,创业板,2010-01-28,1826.99,348.15,5700.0,23.46,12.7,87.61,
2010-01-29,6502,322007,创业板,2010-01-29,1843.25,350.6,5500.0,23.66,11.67,88.39,
2010-02-01,6509,322007,创业板,2010-02-01,1779.65,386.03,13700.0,54.38,18.99,85.34,
