,compound_factor
IC_mean,0.002443564625664716
IC_std,0.1777815561215414
IR_mean,0.0864022713107793
IR_std,0.7250317769697753
Rank_IC_mean,-0.0008028140739659859
Rank_IC_std,0.19336267822297779
IC_isPositive,0.5038167938931297
IC_bigger005,0.7786259541984732
IC_Posbigger005,0.803030303030303
IC_Negbigger005,0.7538461538461538
Long_mean,0.0032664597888650213
Long_std,0.08737793757265276
Short_mean,0.007107806965123447
Short_std,0.10012790181676291
LS_mean,-0.003841347176258423
LS_std,0.05351217844657549
