,EVEBITDA,ROEAVG,SCOSTRT,SGPMARGIN,QUICKRT,ROIC,NPGRT,TATURNRT,CASHRT,CURRENTRT,MACD1226,EMA26,MA12,RSI24
IC_mean,-0.001829241280036357,0.08322422612696537,0.012642277014178587,-0.012642267356619634,-0.015842356264519446,0.08286222347825596,0.05450658917284162,0.013023239256398148,-0.022482787097480385,0.028182485744389023,0.6072151321733835,0.015592759262941349,0.04610763022135341,0.747472890698613
IC_std,0.12717490134099496,0.18393866328476374,0.1344869609419556,0.1344869820540145,0.1254078605299673,0.1688916814009376,0.1285709195385175,0.13174263949736692,0.08203434736153897,0.14013787884143675,0.13827818511742807,0.11884500013091383,0.12300945694066191,0.10785729028534614
IR_mean,-0.015405123600134737,0.3002046184663738,0.08391991393644165,-0.0839198819878154,-0.007371890475483475,0.38946661205321154,0.36107467305855734,0.01873228536755541,-0.17678528240517094,0.28663619085145337,4.4561797082049965,0.19560910507632048,0.4296765867272579,7.248871519144802
IR_std,0.27925897668838773,0.27354910591161646,0.2217616277425866,0.22176150438771003,0.11402017979316224,0.34087495693915815,0.1464427621407276,0.28187104330226603,0.2307729514930829,0.19152826892439095,1.0672833208772072,0.33323386927783955,0.35742754333833276,1.479729350559591
Rank_IC_mean,-0.00020682185107542182,0.0844154606307704,-0.011215448094486649,0.01122256047002008,-0.012306209482139896,0.09422040319191564,0.0653058050968194,0.020161231234071264,-0.009612154028487292,0.02759732240876573,0.6259363393801786,0.019923586675673382,0.05076729049945269,0.7395088861538108
Rank_IC_std,0.13020856924292465,0.17408311428170556,0.1272407059169372,0.12724971180288336,0.12905826862414813,0.1674342195220079,0.1275724240788126,0.14685029115925585,0.0961677658349087,0.1304637781480039,0.13789810934153532,0.12243171544045955,0.12627510234015435,0.1261267657950341
IC_isPositive,0.5714285714285714,0.6428571428571429,0.5357142857142857,0.4642857142857143,0.39285714285714285,0.7142857142857143,0.6785714285714286,0.5714285714285714,0.2857142857142857,0.6428571428571429,1.0,0.5357142857142857,0.5357142857142857,1.0
IC_bigger005,0.6785714285714286,0.8214285714285714,0.8571428571428571,0.8571428571428571,0.5,0.75,0.7142857142857143,0.6785714285714286,0.6071428571428571,0.5714285714285714,1.0,0.6785714285714286,0.6785714285714286,1.0
IC_Posbigger005,0.6875,0.8333333333333334,0.8666666666666667,0.8461538461538461,0.5454545454545454,0.75,0.7368421052631579,0.5625,0.75,0.5555555555555556,1.0,0.6666666666666666,0.8666666666666667,1.0
IC_Negbigger005,0.6666666666666666,0.8,0.8461538461538461,0.8666666666666667,0.47058823529411764,0.75,0.6666666666666666,0.8333333333333334,0.55,0.6,,0.6923076923076923,0.46153846153846156,
Long_mean,0.06201321470703254,0.06931914485362249,0.05602016966316938,0.053737270206370466,0.05323962479486083,0.0687622039309935,0.061954601176383996,0.06214274349933392,0.05161970876786059,0.06108370782221896,0.15657954246670008,0.06214498873542196,0.06774346036112634,0.1759970967818203
Long_std,0.129148514001959,0.11790008179036666,0.1253156083785148,0.11054350431374926,0.12354937144261943,0.12018387024345852,0.1243005476043181,0.11914573043740719,0.12022027163786997,0.12299343412568833,0.14726179705015652,0.11866571720737865,0.11784949247509469,0.147603898575124
Short_mean,0.06439291640108727,0.050013596635890105,0.053737270206370466,0.05602016966316938,0.05317837613439017,0.04108424358280381,0.050065945311993286,0.05437869419594227,0.055549061787753144,0.05194492957773667,-0.0195426221555972,0.0534634152456303,0.047829983174791875,-0.03022262254370878
Short_std,0.12525820919496058,0.1314139991061081,0.11054350431374926,0.1253156083785148,0.12314664206171175,0.12210949742652695,0.131714430660732,0.12204136369728388,0.11936446018547527,0.12090083697863747,0.12071385672741909,0.12722457804163667,0.12912642382537573,0.11825089621229297
LS_mean,-0.0023797016940547413,0.019305548217732386,0.00228289945679891,-0.00228289945679891,6.124866047064579e-05,0.027677960348189666,0.011888655864390705,0.007764049303391675,-0.003929353019892546,0.00913877824448229,0.17612216462229724,0.008681573489791658,0.019913477186334464,0.20621971932552913
LS_std,0.05092314424515919,0.06371423846968188,0.039443669011111175,0.039443669011111175,0.04007261360535398,0.054637774993537724,0.040125144560179495,0.04268989960951814,0.02964069834006635,0.04120885196192363,0.0709162397463675,0.03932559757179111,0.0461145642105482,0.08042385440420549
