,EVEBITDA,ROEAVG,SCOSTRT,SGPMARGIN,QUICKRT,ROIC,NPGRT,TATURNRT,CASHRT,CURRENTRT,MACD1226,EMA26,MA12,RSI24
IC_mean,-0.035953997932720305,0.037708588640285916,0.02280773414787197,-0.02280773747632239,-0.029339607379700643,0.03272952404462177,0.041335211747020505,0.015089359440890312,-0.03231734013619676,0.0016308245426967134,0.6252691701687967,-0.007697000679240811,0.0220198672621533,0.7876310116544367
IC_std,0.15246026259206572,0.2363915333468343,0.16293098072673023,0.16293100113917083,0.11337678431591235,0.21935154887646005,0.15043485761726294,0.1428640179972929,0.08336201286534159,0.1376981825957823,0.153839673899583,0.138213618818298,0.1415705617004111,0.10653111399045134
IR_mean,-0.2985481832099881,0.05284203560323693,0.21226008663254545,-0.21226010645985216,-0.1575735654034645,0.05190442248074613,0.15855113192391657,0.02546097025528641,-0.2732010961402487,0.05298396061128585,4.038562893568735,-0.0062979627049982246,0.20069802283701788,7.38304181905585
IR_std,0.292997672151214,0.23625189608223648,0.19539398615662112,0.19539396344559723,0.14117555729184492,0.2950062379671015,0.1845453314877295,0.2702050543996032,0.19734834119079805,0.2948964716355659,0.9227108538589752,0.3183949742418369,0.34692647154882716,2.1989372795527653
Rank_IC_mean,-0.063365190834664,0.03196673072115773,0.01849036157341413,-0.018418392610713492,-0.03140609286024181,0.023782162114779286,0.041913838949932204,0.021428774348704206,-0.029994702577755,-0.007511050501592653,0.6733247613556802,-0.020209991604523886,0.010126756980150323,0.7867134045870335
Rank_IC_std,0.16858925508658867,0.24364445550272873,0.15880275467884133,0.15879101682957306,0.1263058400869152,0.23435108159572032,0.14332891335968082,0.15914691579922816,0.1016478524117096,0.1327899020811638,0.1752704321321526,0.15901767338554995,0.16199246466034314,0.12148876457076974
IC_isPositive,0.4642857142857143,0.5357142857142857,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.5714285714285714,0.5714285714285714,0.5357142857142857,0.35714285714285715,0.5,1.0,0.5,0.6428571428571429,1.0
IC_bigger005,0.6785714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6428571428571429,0.8214285714285714,0.8571428571428571,0.6428571428571429,0.5714285714285714,0.75,1.0,0.7142857142857143,0.75,1.0
IC_Posbigger005,0.6923076923076923,0.9333333333333333,0.875,0.8333333333333334,0.6,0.875,0.875,0.6,0.4,0.7142857142857143,1.0,0.7142857142857143,0.6666666666666666,1.0
IC_Negbigger005,0.6666666666666666,0.7692307692307693,0.8333333333333334,0.875,0.6666666666666666,0.75,0.8333333333333334,0.6923076923076923,0.6666666666666666,0.7857142857142857,,0.7142857142857143,0.9,
Long_mean,0.056079616531476625,0.06276712273241948,0.06264381922254773,0.05059611869288181,0.05043448580990536,0.06177033337110397,0.0638272399296721,0.06118307135169212,0.05225364040101035,0.051618922421970824,0.1573411084541081,0.05875680583907178,0.06214388523287936,0.1815740126524714
Long_std,0.12288778898628759,0.11704621779775626,0.13355435041001038,0.10576290816181848,0.11853094821176606,0.12007878780744298,0.12605440429566908,0.12295112798966243,0.1187559312140963,0.11811524175822023,0.1362911261140568,0.1178008149946089,0.11677270891462627,0.14968402619498647
Short_mean,0.07118897354217911,0.057039994067151704,0.05059611869288181,0.06264381922254773,0.06325104017689065,0.05697826397564344,0.05745061707468565,0.05902511063873363,0.05980756103220146,0.05773746224187278,-0.02531651784911591,0.058977443777869676,0.056254505600129324,-0.03393858122414615
Short_std,0.13423194361675428,0.13450109702823407,0.10576290816181848,0.13355435041001038,0.12895397987919488,0.14237146789030455,0.13348936591965954,0.12367926252276515,0.126513522344984,0.1341894593122608,0.1238602380538451,0.12909690968060586,0.12934791126883377,0.11848471194866102
LS_mean,-0.015109357010702467,0.005727128665267765,0.012047700529665943,-0.012047700529665943,-0.012816554366985288,0.004792069395460549,0.00637662285498645,0.002157960712958508,-0.007553920631191108,-0.006118539819901974,0.18265762630322396,-0.00022063793879789504,0.005889379632750047,0.2155125938766176
LS_std,0.050941773248807484,0.07749607509059334,0.04764965641603059,0.04764965641603059,0.043418901377934,0.07687676037205288,0.043417489320878334,0.04613095166516798,0.03803963129615365,0.0491138441634549,0.07213884797302017,0.044407794668939425,0.047627988696322746,0.08415186634628091
