,open,close,high,low,volume,money
2008-01-02,17731.84,17856.15,17933.25,17438.59,599650900.0,17214167657.0
2008-01-03,17873.2,17911.3,17911.3,17626.49,896746800.0,23402670485.0
2008-01-04,17968.56,18122.41,18195.27,17863.19,830499400.0,23567392472.0
2008-01-07,18123.13,18376.96,18450.12,18092.24,776125500.0,23370214685.0
2008-01-08,18416.73,18268.13,18582.56,18102.67,938854200.0,26855737215.0
2008-01-09,18202.61,18597.61,18601.74,18143.47,646140200.0,18700991016.0
2008-01-10,18682.24,18939.28,19124.11,18628.04,928358700.0,26645611514.0
2008-01-11,19034.26,19016.59,19076.44,18831.5,590299400.0,18817732232.0
2008-01-14,19074.35,19141.13,19219.89,18955.5,568240700.0,17586440479.0
2008-01-15,19154.48,19034.02,19212.56,18884.05,723463200.0,20698526457.0
2008-01-16,18837.52,18351.99,18837.52,18261.4,853248100.0,23549379260.0
2008-01-17,18173.99,17910.39,18483.55,17450.47,840207900.0,23372372982.0
2008-01-18,17911.5,18131.38,18196.4,17752.59,621389700.0,16613364375.0
2008-01-21,18166.71,17210.93,18188.72,17133.93,646290700.0,17472866217.0
2008-01-22,16761.75,15995.85,16974.65,15793.28,826041800.0,22309253034.0
2008-01-23,16149.55,16874.31,16883.06,16111.73,684431000.0,20327329845.0
2008-01-24,17052.39,17086.6,17230.68,16723.19,635142000.0,18796762466.0
2008-01-25,17047.85,17294.01,17432.87,16885.26,688907500.0,20226347561.0
2008-01-28,17215.05,16177.83,17215.05,16102.92,519928100.0,14570983948.0
2008-01-29,16171.57,16205.93,16591.94,16041.98,352486200.0,10134248465.0
2008-01-30,16449.95,16127.71,16653.07,15814.88,433003200.0,12032168367.0
2008-01-31,16117.05,15857.71,16234.9,15842.2,431579700.0,12239412042.0
2008-02-01,15837.88,15776.87,16012.87,15151.16,473531100.0,12662517844.0
2008-02-04,16211.66,17031.67,17043.1,16211.66,540118300.0,16050144659.0
2008-02-05,17044.88,16859.64,17245.89,16767.26,406209100.0,11166854917.0
2008-02-13,16663.9,16502.44,16730.05,16359.51,218162100.0,5860708085.0
2008-02-14,16618.25,16704.94,16835.73,16564.83,212188900.0,5942505207.0
2008-02-15,16614.0,16496.23,16614.0,16257.74,301439600.0,7666825663.0
2008-02-18,16718.78,16860.55,16982.77,16612.48,372394500.0,10051788120.0
2008-02-19,16916.94,17281.6,17281.6,16781.1,423767700.0,11817740257.0
2008-02-20,17288.52,16959.2,17476.85,16944.74,524495600.0,15244130608.0
2008-02-21,16838.36,16804.26,16976.13,16470.78,402212000.0,11233065076.0
2008-02-22,16737.56,16179.52,16737.56,16032.66,498280400.0,13768424402.0
2008-02-25,16201.54,15486.67,16304.23,15473.27,392226700.0,10406817441.0
2008-02-26,15888.1,15328.42,16016.61,14907.27,454528300.0,12973639890.0
2008-02-27,15409.84,15752.41,15799.92,15251.09,343252000.0,9730823954.0
2008-02-28,15787.35,15654.46,15823.11,15498.45,345221900.0,9192815231.0
2008-02-29,15612.88,15823.88,15838.24,15513.79,308194800.0,8257962649.0
2008-03-03,15722.32,16187.51,16224.89,15525.76,485906600.0,13529982434.0
2008-03-04,16241.03,15746.23,16350.09,15704.64,530046800.0,15023276702.0
2008-03-05,15642.27,15601.21,15760.6,15092.47,527784800.0,13333095467.0
2008-03-06,15602.91,15696.13,15915.45,15366.56,498547300.0,13185978942.0
2008-03-07,15558.97,15560.85,15833.36,15425.77,350068300.0,9637579498.0
2008-03-10,15482.75,14863.05,15482.75,14784.42,401784300.0,10320643488.0
2008-03-11,14663.71,14815.72,14815.72,14312.11,360245200.0,9594787579.0
