,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-01-03,0.00308403589763806,9.511277417920195e-06,0.00021665793613832084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-04,0.011717660932804463,0.00013730357773617197,9.209834590306521e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-07,0.013947974478011105,0.00019454599203924916,0.00011308357146478531,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-08,-0.005939696131644467,3.527999013627225e-05,0.0003225704041520924,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-09,0.017875339973778992,0.00031952777917818113,0.00013944027496324933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-10,0.018205205613714526,0.0003314295114376229,0.00015278456368024839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-11,0.004073472627505126,1.6593179247033515e-05,0.0001839066965179616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-14,0.006527562376959395,4.2609070585095784e-05,0.00010598771766657248,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-15,-0.005611256444135293,3.1486198881849855e-05,0.0001630300152905142,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-16,-0.03648982856628358,0.001331507588796765,0.000539663337532622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-17,-0.024357409567747013,0.0005932834008509737,0.000924639095090461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-18,0.012263535535876002,0.00015039430383969351,0.00046573372397163993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-21,-0.05209994471249857,0.0027144042390454077,0.0005426142986387712,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-22,-0.07321503859026635,0.005360441875774191,0.004764077071958921,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-23,0.05346326722961692,0.0028583209428654304,0.0019123758237525404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-24,0.012501828714986729,0.00015629572121886673,0.0007246002689577258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-25,0.01206543759872325,0.00014557478444868465,0.0004026216900428512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-28,-0.06671837046465434,0.004451340957458861,0.001441638724789044,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-29,0.0017359939791603551,3.0136750956810035e-06,0.0009569180672075722,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
