,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt,volume,money,volumeR,moneyR,turnoverR,content,lnRroll5,turnoverRroll5,lnRroll20,stdlnRroll20,sharpe20,skewlnR60,kurtlnR60
2008/1/3,0.003083812,9.51E-06,0.000216658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/1/4,0.011717495,0.0001373,9.21E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/1/7,0.013948412,0.000194558,0.000113084,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/1/8,-0.005939695,3.53E-05,0.00032257,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/1/9,0.017875066,0.000319518,0.00013944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008137018,0,0,0,0,0,0
2008/1/10,0.018204994,0.000331422,0.000152785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.011161255,0,0,0,0,0,0
2008/1/11,0.004073684,1.66E-05,0.000183907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.009632492,0,0,0,0,0,0
2008/1/14,0.006527667,4.26E-05,0.000105988,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.008148343,0,0,0,0,0,0
2008/1/15,-0.005611519,3.15E-05,0.00016303,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.008213979,0,0,0,0,0,0
2008/1/16,-0.036489889,0.001331512,0.000539663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.002659012,0,0,0,0,0,0
2008/1/17,-0.024357024,0.000593265,0.000924639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.011171416,0,0,0,0,0,0
2008/1/18,0.012263147,0.000150385,0.000465734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.009533523,0,0,0,0,0,0
2008/1/21,-0.052099492,0.002714357,0.000542614,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.021258955,0,0,0,0,0,0
2008/1/22,-0.073215334,0.005360485,0.004764077,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.034779718,0,0,0,0,0,0
2008/1/23,0.053463033,0.002858296,0.001912376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.016789134,0,0,0,0,0,0
2008/1/24,0.012502184,0.000156305,0.0007246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.009417292,0,0,0,0,0,0
2008/1/25,0.012065668,0.00014558,0.000402622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.009456788,0,0,0,0,0,0
2008/1/28,-0.066718412,0.004451347,0.001441639,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.012380572,0,0,0,0,0,0
2008/1/29,0.001735438,3.01E-06,0.000956918,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002609582,0,0,0,0,0,0
2008/1/30,-0.004838314,2.34E-05,0.001033857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.009050687,0,-0.005090454,0.031109298,-2.66855796,0,0
2008/1/31,-0.016883093,0.000285039,0.000542123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.014927743,0,-0.006088799,0.031153519,-3.171461547,0,0
2008/2/1,-0.005110874,2.61E-05,0.001242191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.018363051,0,-0.006930218,0.030873277,-3.631172057,0,0
2008/2/4,0.076529609,0.005856781,0.001134149,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.010286553,0,-0.003801158,0.035868056,-1.746161065,0,0
2008/2/5,-0.010151952,0.000103062,0.000342119,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.007909075,0,-0.004011771,0.035893632,-1.837693242,0,0
2008/2/13,-0.021414351,0.000458574,0.000525558,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0.004593868,0,-0.005976241,0.03570739,-2.717154517,0,0
2008/2/14,0.012196235,0.000148748,0.000350389,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.010409733,0,-0.006276679,0.035518,-2.865387633,0,0
2008/2/15,-0.012572614,0.000158071,0.000312767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.008917385,0,-0.007108994,0.035457678,-3.241410542,0,0
2008/2/18,0.021844704,0.000477191,0.00031369,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,-0.002019596,0,-0.006343142,0.03592999,-2.861779562,0,0
