,lnR,lnR_2,SZCZRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt,risk_M,risk_Tu,risk_Th,risk_F,risk_Jan,risk_Feb,risk_May,risk_Dec,risk_ntd_cnt,emotion_M,emotion_Tu,emotion_Th,emotion_F,emotion_Jan,emotion_Feb,emotion_May,emotion_Dec,emotion_ntd_cnt,news_M,news_Tu,news_Th,news_F,news_Jan,news_Feb,news_May,news_Dec,news_ntd_cnt
2008-01-03,0.0030838118851566065,9.509895743033144e-06,0.00021665793613832084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.6973701121658461,-0.0,-0.6973701121658461,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818244,-0.0,-1.3693253347818244,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04,0.011717495391922128,0.0001372996982597163,9.209834590306521e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818204,-1.3693253347818204,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07,0.013948412098752527,0.00019455820007662587,0.00011308357146478531,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-0.6973701121658534,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-1.3947402243317069,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08,-0.005939694510765037,3.527997088121231e-05,0.0003225704041520924,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09,0.017875066273040474,0.0003195179942655891,0.00013944027496324933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10,0.018204994412467812,0.0003314218215579843,0.00015278456368024839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11,0.0040736838287518395,1.6594899936634247e-05,0.0001839066965179616,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14,0.006527666864004189,4.261043468741828e-05,0.00010598771766657248,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-0.6973701121658534,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-1.3947402243317069,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-15,-0.0056115185436951265,3.148914036623427e-05,0.0001630300152905142,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16,-0.03648988891375815,0.00133151199293841,0.000539663337532622,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-17,-0.02435702410720353,0.0005932646233588938,0.000924639095090461,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18,0.01226314742334722,0.00015038478472674757,0.00046573372397163993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-21,-0.05209949169004702,0.0027143570343612783,0.0005426142986387712,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-0.6973701121658534,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-1.3947402243317069,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-22,-0.07321533351695741,0.0053604850619993075,0.004764077071958921,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-23,0.05346303343746328,0.002858295944335317,0.0019123758237525404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-24,0.012502183548750878,0.0001563045934866571,0.0007246002689577258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25,0.01206566819081445,0.00014558034889083162,0.0004026216900428512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-0.6973701121658534,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-28,-0.06671841233016274,0.004451346543857611,0.001441638724789044,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-0.6973701121658534,-0.0,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-1.3947402243317069,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-29,0.0017354381981906641,3.011745739739259e-06,0.0009569180672075722,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.6973701121658534,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-30,-0.004838314064823379,2.340928298986773e-05,0.0010338569481417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,-0.0,-0.0,-0.0,-1.2493702931340607,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-31,-0.01688309319329484,0.00028503883577347857,0.000542123292149992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.2509407353660067,-0.0,-1.2509407353660067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,-0.005110873984646602,2.612103288693744e-05,0.0012421914591167935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.0,-0.0,-0.0,-1.2410262305877806,-0.0,-1.2410262305877806,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-04,0.0765296087113505,0.005856781009512415,0.0011341491855169294,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-1.4311646602470312,-0.0,-0.0,-0.0,-0.0,-1.4311646602470312,-0.0,-0.0,-2.8623293204940623,-1.3693253347818213,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-2.7386506695636426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-05,-0.010151952077331217,0.00010306213098042961,0.00034211938518804053,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,-1.4322115072918817,-0.0,-0.0,-0.0,-1.4322115072918817,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-13,-0.021414351271156207,0.00045857444036446945,0.0005255578062546898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,-0.0,-0.0,-0.0,-0.0,-0.0,-1.4246055340852635,-0.0,-0.0,-9.972238738596845,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-9.585277343472749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-14,0.01219623530184677,0.00014874815553801336,0.00035038854996508143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0,-0.0,-1.416911549747273,-0.0,-0.0,-1.416911549747273,-0.0,-0.0,-0.0,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-1.3693253347818213,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
