date,id,exchange_code,exchange_name,date,total_market_cap,circulating_market_cap,volume,money,deal_number,pe_average,turnover_ratio
2009-01-05,4858,322005,深市主板,2009-01-05,18382.06,10580.88,251200.0,155.93,146.16,15.38,
2009-01-06,4864,322005,深市主板,2009-01-06,18931.19,10933.73,376900.0,246.83,218.16,15.89,
2009-01-07,4870,322005,深市主板,2009-01-07,18838.86,10900.25,358900.0,234.52,220.07,15.83,
2009-01-08,4876,322005,深市主板,2009-01-08,18422.17,10673.77,304300.0,230.58,190.73,15.5,
2009-01-09,4882,322005,深市主板,2009-01-09,18749.12,10896.88,279700.0,198.55,169.72,15.81,
2009-01-12,4888,322005,深市主板,2009-01-12,18823.7,10956.6,327900.0,223.08,197.1,15.9,
2009-01-13,4894,322005,深市主板,2009-01-13,18356.35,10686.74,316100.0,213.15,187.14,15.5,
2009-01-14,4900,322005,深市主板,2009-01-14,19059.46,11103.05,344700.0,236.43,199.71,16.11,
2009-01-15,4906,322005,深市主板,2009-01-15,19124.91,11150.82,455500.0,305.21,258.72,16.17,
2009-01-16,4912,322005,深市主板,2009-01-16,19356.18,11302.13,505200.0,345.61,282.47,16.37,
2009-01-19,4918,322005,深市主板,2009-01-19,19410.1,11345.42,395800.0,280.25,222.86,16.42,
2009-01-20,4924,322005,深市主板,2009-01-20,19564.19,11446.5,316800.0,212.72,183.2,16.56,
2009-01-21,4930,322005,深市主板,2009-01-21,19553.84,11472.95,372900.0,261.1,211.53,16.55,
2009-01-22,4936,322005,深市主板,2009-01-22,19828.84,11652.89,386200.0,267.33,218.46,16.79,
2009-01-23,4942,322005,深市主板,2009-01-23,19746.43,11635.3,364500.0,248.76,209.9,16.71,
2009-02-02,4948,322005,深市主板,2009-02-02,20129.73,11859.06,381700.0,249.7,217.97,17.01,
2009-02-03,4954,322005,深市主板,2009-02-03,20687.74,12180.69,591800.0,396.84,331.92,17.47,
2009-02-04,4960,322005,深市主板,2009-02-04,21191.7,12478.91,637200.0,429.64,360.52,17.9,
2009-02-05,4966,322005,深市主板,2009-02-05,20961.98,12330.73,721000.0,504.82,415.5,17.7,
