,open,close,high,low,volume,money
2008-01-02,5265.0,5272.814,5295.016,5201.892,7656660900.0,133028308582.0
2008-01-03,5269.801,5319.861,5321.457,5211.046,9851032300.0,170429834594.0
2008-01-04,5328.411,5361.574,5372.461,5318.461,8087523800.0,145545034987.0
2008-01-07,5357.45,5393.343,5403.349,5332.597,9193300100.0,162225795987.0
2008-01-08,5414.558,5386.531,5480.07,5344.648,10247786300.0,184600542494.0
2008-01-09,5365.222,5435.807,5437.764,5346.846,7680586200.0,139448986326.0
2008-01-10,5449.16,5456.541,5483.827,5407.307,9655328500.0,174138308106.0
2008-01-11,5471.387,5484.677,5500.061,5423.807,8772475000.0,155874958881.0
2008-01-14,5507.578,5497.901,5522.778,5456.929,7871409000.0,142250729150.0
2008-01-15,5503.931,5443.791,5505.035,5405.595,8071950600.0,151530590962.0
2008-01-16,5395.277,5290.606,5396.044,5288.765,8927834100.0,161954601881.0
2008-01-17,5235.908,5151.626,5312.287,5039.786,9894195200.0,174740177296.0
2008-01-18,5141.371,5180.514,5187.605,5093.134,6863562500.0,118366922100.0
2008-01-21,5188.795,4914.435,5200.926,4891.285,7564395800.0,130341708797.0
2008-01-22,4817.997,4559.751,4817.997,4511.953,9249135100.0,154837414462.0
2008-01-23,4572.902,4703.047,4705.073,4510.504,8796397300.0,140348152218.0
2008-01-24,4753.445,4717.734,4767.799,4625.46,9003815800.0,149235591804.0
2008-01-25,4716.977,4761.688,4806.889,4657.709,7792837000.0,129423208442.0
2008-01-28,4720.564,4419.294,4720.564,4409.079,6935025700.0,108808414720.0
2008-01-29,4426.267,4457.944,4517.601,4389.517,5035622000.0,79564816502.0
2008-01-30,4505.635,4417.849,4554.343,4330.697,5508003700.0,92566887231.0
2008-01-31,4408.024,4383.393,4487.318,4368.296,4514155800.0,76189312077.0
2008-02-01,4388.254,4320.767,4411.704,4195.753,5930714200.0,96452528217.0
2008-02-04,4415.023,4672.17,4672.214,4415.023,6337457800.0,109153400497.0
2008-02-05,4622.539,4599.696,4662.971,4550.429,5261968400.0,93410147301.0
2008-02-13,4525.026,4490.721,4547.539,4454.642,3691415100.0,61549818305.0
2008-02-14,4527.054,4552.316,4576.983,4507.943,3491300500.0,57516976533.0
2008-02-15,4523.792,4497.127,4523.792,4431.463,4138651600.0,66980796498.0
