,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-01-03,0.008882989304026978,7.89074989754577e-05,0.00014179846637088405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-04,0.007810413497768565,6.100255900612538e-05,8.676861599762878e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-07,0.005907826606412314,3.490241521143324e-05,7.505256421687632e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-08,-0.0012638368327344551,1.5972835397762592e-06,0.00025037650848600077,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-09,0.009106413147407011,8.292676041126726e-05,9.858412119949394e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-10,0.0038070809054175925,1.4493865020395235e-05,0.00010474137893790133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-11,0.005143131600272355,2.6451802657720072e-05,9.539931588231565e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-14,0.002408178915889181,5.79932569093319e-06,7.049192058695301e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-15,-0.009890689869880731,9.782574610216131e-05,0.0001039372808498979,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-16,-0.028542898088424806,0.0008146970312862045,0.000297657806350499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-17,-0.026620402075453242,0.0007086458066587953,0.000641751553209211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-18,0.0055918861485277915,3.126919069809698e-05,0.00028335532322886994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-21,-0.05272748637825053,0.0027801878197685954,0.0004641050734054812,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-22,-0.07490877599740209,0.0056113247214289634,0.00365295550839595,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-23,0.03094257976185233,0.0009574432423185933,0.0014303882658037363,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-24,0.003118003040055939,9.721942957798076e-06,0.000564251643894214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-01-25,0.009273627654478034,8.600016987389975e-05,0.0004381245166693673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-01-28,-0.07462227240373842,0.005568483538697741,0.0013673490453383107,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-01-29,0.008707718373059947,7.582435926452577e-05,0.0008662231860954664,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-01-30,-0.009034747145340916,8.162665598024582e-05,0.0008821628805238453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-31,-0.007829844022262833,6.130645741296502e-05,0.0006221451198194335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-01,-0.014390149237481609,0.00020707639507699252,0.0009473798882435497,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-04,0.07819069905739973,0.00611378541908485,0.0009858929016693795,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-05,-0.015633417495548585,0.0002444037425901246,0.0006176353327592217,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-13,-0.023976946427374912,0.0005748939599812065,0.0006581427865496501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
2008-02-14,0.013622846522405752,0.0001855819473730225,0.0003062908987175904,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-15,-0.012197366010331834,0.00014877573758999833,0.0002741388624146713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-18,0.015669779410014684,0.0002455419867585201,0.0002440229927694863,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-19,0.02082816962738221,0.0004338126500270068,0.00014349402129828256,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-20,-0.021074470275019408,0.0004441332973726766,0.0002291532152504827,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-02-21,-0.008763660771391457,7.680175011602551e-05,0.0003787985227279468,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-22,-0.03527034205813173,0.0012439970288976162,0.0004799456393736485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-02-25,-0.04152313848942413,0.0017241710300118953,0.000679936085844643,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-02-26,0.010828609975536807,0.00011725879400229525,0.0012227409704224153,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-02-27,0.022368051682475354,0.0005003297360698885,0.0003450288696758207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-02-28,-0.007999987069190695,6.399979310721832e-05,0.0002482331678996169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-02-29,0.011339085994441334,0.0001285748711893356,0.0001754388560076104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-03,0.020422687843449694,0.0004170861787509879,0.0004315044130157937,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-04,-0.02343904586282619,0.0005493888709596696,0.0002865911878975972,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-05,-0.009919298771928098,9.839248812677427e-05,0.0004026477930807692,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-06,0.015792988907827876,0.0002494184986427743,0.0005536081580279366,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-07,-0.013963395612773155,0.0001949764170388126,0.00036932247506131255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-10,-0.03651865385278796,0.0013336120792197452,0.00036240293597075837,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-11,0.004710928607382314,2.219284834385307e-05,0.0005656885512072533,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-12,-0.02325555744757324,0.0005408209521973791,0.0006110897581749286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-13,-0.024588831007632095,0.0006046106103218896,0.0010723528983381792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-14,-0.002163871712866694,4.68234078974464e-06,0.0005293625763539579,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-03-17,-0.036655809571787046,0.0013436483753631147,0.0007095107732785277,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-03-18,-0.04037191604990298,0.0016298916055404137,0.0011015037438751806,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-03-19,0.024954656089729355,0.0006227348605566664,0.001173788310526976,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-03-20,0.011221612141591564,0.0001259245790563152,0.001976628740604406,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-03-21,-0.0019677322571638456,3.8719702358831226e-06,0.0006566955126465345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
