,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt,volume,money,volumeR,moneyR,turnoverR,content,lnRroll5,turnoverRroll5,lnRroll20,stdlnRroll20,sharpe20,skewlnR60,kurtlnR60
2008-01-03,0.008883559937672203,7.891763716621456e-05,0.00014179846637088405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-04,0.007809855422769019,6.099384172455465e-05,8.676861599762878e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07,0.005908016414833739,3.4904657957944905e-05,7.505256421687632e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-08,-0.001263466239560529,1.596346938509224e-06,0.00025037650848600077,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-09,0.00910715069148793,8.29401937174691e-05,9.858412119949394e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060890232454404725,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-10,0.0038063457432926384,1.4488267917481988e-05,0.00010474137893790133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005073580406564559,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11,0.005143861844851827,2.645931467892244e-05,9.539931588231565e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004540381690981121,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14,0.0024074500499988716,5.795815743239569e-06,7.049192058695301e-05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0038402684180141476,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-15,-0.009890691677801655,9.782578186533492e-05,0.0001039372808498979,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021148233303659226,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-16,-0.028541958336120388,0.0008146433856608321,0.000297657806350499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005414998475155741,0.0,0.0,0.0,0.0,0.0,0.0
